time (s),/Vline (V),/Vout (V)
499.2E-3,1.395,999.0E-3
500.0E-3,1.400,998.8E-3
500.8E-3,1.405,999.0E-3
501.7E-3,1.409,998.8E-3
502.5E-3,1.410,999.0E-3
503.3E-3,1.409,998.8E-3
504.2E-3,1.405,999.0E-3
505.0E-3,1.400,998.8E-3
505.8E-3,1.395,999.0E-3
506.7E-3,1.391,998.8E-3
507.5E-3,1.390,999.0E-3
508.3E-3,1.391,998.8E-3
509.2E-3,1.395,999.0E-3
510.0E-3,1.400,998.8E-3
510.8E-3,1.405,999.0E-3
511.7E-3,1.409,998.8E-3
512.5E-3,1.410,999.0E-3
513.3E-3,1.409,998.8E-3
514.2E-3,1.405,999.0E-3
515.0E-3,1.400,998.8E-3
515.8E-3,1.395,999.0E-3
516.7E-3,1.391,998.8E-3
517.5E-3,1.390,999.0E-3
518.3E-3,1.391,998.8E-3
519.2E-3,1.395,999.0E-3
520.0E-3,1.400,998.8E-3
520.8E-3,1.405,999.0E-3
521.7E-3,1.409,998.8E-3
522.5E-3,1.410,999.0E-3
523.3E-3,1.409,998.8E-3
524.2E-3,1.405,999.0E-3
525.0E-3,1.400,998.8E-3
525.8E-3,1.395,999.0E-3
526.7E-3,1.391,998.8E-3
527.5E-3,1.390,999.0E-3
528.3E-3,1.391,998.8E-3
529.2E-3,1.395,999.0E-3
530.0E-3,1.400,998.8E-3
530.8E-3,1.405,999.0E-3
531.7E-3,1.409,998.8E-3
532.5E-3,1.410,999.0E-3
533.3E-3,1.409,998.8E-3
534.2E-3,1.405,999.0E-3
535.0E-3,1.400,998.8E-3
535.8E-3,1.395,999.0E-3
536.7E-3,1.391,998.8E-3
537.5E-3,1.390,999.0E-3
538.3E-3,1.391,998.8E-3
539.2E-3,1.395,999.0E-3
540.0E-3,1.400,998.8E-3
540.8E-3,1.405,999.0E-3
541.7E-3,1.409,998.8E-3
542.5E-3,1.410,999.0E-3
543.3E-3,1.409,998.8E-3
544.2E-3,1.405,999.0E-3
545.0E-3,1.400,998.8E-3
545.8E-3,1.395,999.0E-3
546.7E-3,1.391,998.8E-3
547.5E-3,1.390,999.0E-3
548.3E-3,1.391,998.8E-3
549.2E-3,1.395,999.0E-3
550.0E-3,1.400,998.8E-3
550.8E-3,1.405,999.0E-3
551.7E-3,1.409,998.8E-3
552.5E-3,1.410,999.0E-3
553.3E-3,1.409,998.8E-3
554.2E-3,1.405,999.0E-3
555.0E-3,1.400,998.8E-3
555.8E-3,1.395,999.0E-3
556.7E-3,1.391,998.8E-3
557.5E-3,1.390,999.0E-3
558.3E-3,1.391,998.8E-3
559.2E-3,1.395,999.0E-3
560.0E-3,1.400,998.8E-3
560.8E-3,1.405,999.0E-3
561.7E-3,1.409,998.8E-3
562.5E-3,1.410,999.0E-3
563.3E-3,1.409,998.8E-3
564.2E-3,1.405,999.0E-3
565.0E-3,1.400,998.8E-3
565.8E-3,1.395,999.0E-3
566.7E-3,1.391,998.8E-3
567.5E-3,1.390,999.0E-3
568.3E-3,1.391,998.8E-3
569.2E-3,1.395,999.0E-3
570.0E-3,1.400,998.8E-3
570.8E-3,1.405,999.0E-3
571.7E-3,1.409,998.8E-3
572.5E-3,1.410,999.0E-3
573.3E-3,1.409,998.8E-3
574.2E-3,1.405,999.0E-3
575.0E-3,1.400,998.8E-3
575.8E-3,1.395,999.0E-3
576.7E-3,1.391,998.8E-3
577.5E-3,1.390,998.9E-3
578.3E-3,1.391,998.8E-3
579.2E-3,1.395,999.0E-3
580.0E-3,1.400,998.8E-3
580.8E-3,1.405,999.0E-3
581.7E-3,1.409,998.8E-3
582.5E-3,1.410,999.0E-3
583.3E-3,1.409,998.8E-3
584.2E-3,1.405,999.0E-3
585.0E-3,1.400,998.8E-3
585.8E-3,1.395,999.0E-3
586.7E-3,1.391,998.8E-3
587.5E-3,1.390,998.9E-3
588.3E-3,1.391,998.8E-3
589.2E-3,1.395,999.0E-3
590.0E-3,1.400,998.8E-3
590.8E-3,1.405,999.0E-3
591.7E-3,1.409,998.8E-3
592.5E-3,1.410,999.0E-3
593.3E-3,1.409,998.8E-3
594.2E-3,1.405,999.0E-3
595.0E-3,1.400,998.8E-3
595.8E-3,1.395,999.0E-3
596.7E-3,1.391,998.8E-3
597.5E-3,1.390,998.9E-3
598.3E-3,1.391,998.8E-3
599.2E-3,1.395,999.0E-3
600.0E-3,1.400,998.8E-3
600.8E-3,1.405,999.0E-3
601.7E-3,1.409,998.8E-3
602.5E-3,1.410,999.0E-3
603.3E-3,1.409,998.8E-3
604.2E-3,1.405,999.0E-3
605.0E-3,1.400,998.8E-3
605.8E-3,1.395,998.9E-3
606.7E-3,1.391,998.8E-3
607.5E-3,1.390,998.9E-3
608.3E-3,1.391,998.8E-3
609.2E-3,1.395,998.9E-3
610.0E-3,1.400,998.8E-3
610.8E-3,1.405,999.0E-3
611.7E-3,1.409,998.8E-3
612.5E-3,1.410,999.0E-3
613.3E-3,1.409,998.8E-3
614.2E-3,1.405,999.0E-3
615.0E-3,1.400,998.8E-3
615.8E-3,1.395,998.9E-3
616.7E-3,1.391,998.8E-3
617.5E-3,1.390,998.9E-3
618.3E-3,1.391,998.8E-3
619.2E-3,1.395,998.9E-3
620.0E-3,1.400,998.8E-3
620.8E-3,1.405,999.0E-3
621.7E-3,1.409,998.8E-3
622.5E-3,1.410,999.0E-3
623.3E-3,1.409,998.8E-3
624.2E-3,1.405,999.0E-3
625.0E-3,1.400,998.8E-3
625.8E-3,1.395,998.9E-3
626.7E-3,1.391,998.8E-3
627.5E-3,1.390,998.9E-3
628.3E-3,1.391,998.8E-3
629.2E-3,1.395,998.9E-3
630.0E-3,1.400,998.8E-3
630.8E-3,1.405,999.0E-3
631.7E-3,1.409,998.8E-3
632.5E-3,1.410,999.0E-3
633.3E-3,1.409,998.8E-3
634.2E-3,1.405,999.0E-3
635.0E-3,1.400,998.8E-3
635.8E-3,1.395,998.9E-3
636.7E-3,1.391,998.8E-3
637.5E-3,1.390,998.9E-3
638.3E-3,1.391,998.8E-3
639.2E-3,1.395,998.9E-3
640.0E-3,1.400,998.8E-3
640.8E-3,1.405,999.0E-3
641.7E-3,1.409,998.8E-3
642.5E-3,1.410,999.0E-3
643.3E-3,1.409,998.8E-3
644.2E-3,1.405,999.0E-3
645.0E-3,1.400,998.8E-3
645.8E-3,1.395,998.9E-3
646.7E-3,1.391,998.8E-3
647.5E-3,1.390,998.9E-3
648.3E-3,1.391,998.8E-3
649.2E-3,1.395,998.9E-3
650.0E-3,1.400,998.8E-3
650.8E-3,1.405,999.0E-3
651.7E-3,1.409,998.8E-3
652.5E-3,1.410,999.0E-3
653.3E-3,1.409,998.8E-3
654.2E-3,1.405,999.0E-3
655.0E-3,1.400,998.8E-3
655.8E-3,1.395,998.9E-3
656.7E-3,1.391,998.8E-3
657.5E-3,1.390,998.9E-3
658.3E-3,1.391,998.8E-3
659.2E-3,1.395,998.9E-3
660.0E-3,1.400,998.8E-3
660.8E-3,1.405,999.0E-3
661.7E-3,1.409,998.8E-3
662.5E-3,1.410,999.0E-3
663.3E-3,1.409,998.8E-3
664.2E-3,1.405,999.0E-3
665.0E-3,1.400,998.8E-3
665.8E-3,1.395,998.9E-3
666.7E-3,1.391,998.8E-3
667.5E-3,1.390,998.9E-3
668.3E-3,1.391,998.8E-3
669.2E-3,1.395,998.9E-3
670.0E-3,1.400,998.8E-3
670.8E-3,1.405,999.0E-3
671.7E-3,1.409,998.8E-3
672.5E-3,1.410,999.0E-3
673.3E-3,1.409,998.8E-3
674.2E-3,1.405,999.0E-3
675.0E-3,1.400,998.8E-3
675.8E-3,1.395,998.9E-3
676.7E-3,1.391,998.8E-3
677.5E-3,1.390,998.9E-3
678.3E-3,1.391,998.8E-3
679.2E-3,1.395,998.9E-3
680.0E-3,1.400,998.8E-3
680.8E-3,1.405,999.0E-3
681.7E-3,1.409,998.8E-3
682.5E-3,1.410,999.0E-3
683.3E-3,1.409,998.8E-3
684.2E-3,1.405,999.0E-3
685.0E-3,1.400,998.8E-3
685.8E-3,1.395,998.9E-3
686.7E-3,1.391,998.8E-3
687.5E-3,1.390,998.9E-3
688.3E-3,1.391,998.8E-3
689.2E-3,1.395,998.9E-3
690.0E-3,1.400,998.8E-3
690.8E-3,1.405,999.0E-3
691.7E-3,1.409,998.8E-3
692.5E-3,1.410,999.0E-3
693.3E-3,1.409,998.8E-3
694.2E-3,1.405,999.0E-3
695.0E-3,1.400,998.8E-3
695.8E-3,1.395,998.9E-3
696.7E-3,1.391,998.8E-3
697.5E-3,1.390,998.9E-3
698.3E-3,1.391,998.8E-3
699.2E-3,1.395,998.9E-3
700.0E-3,1.400,998.8E-3
700.8E-3,1.405,999.0E-3
701.7E-3,1.409,998.8E-3
702.5E-3,1.410,999.0E-3
703.3E-3,1.409,998.8E-3
704.2E-3,1.405,999.0E-3
705.0E-3,1.400,998.8E-3
705.8E-3,1.395,998.9E-3
706.7E-3,1.391,998.8E-3
707.5E-3,1.390,998.9E-3
708.3E-3,1.391,998.8E-3
709.2E-3,1.395,998.9E-3
710.0E-3,1.400,998.8E-3
710.8E-3,1.405,999.0E-3
711.7E-3,1.409,998.8E-3
712.5E-3,1.410,999.0E-3
713.3E-3,1.409,998.8E-3
714.2E-3,1.405,999.0E-3
715.0E-3,1.400,998.8E-3
715.8E-3,1.395,998.9E-3
716.7E-3,1.391,998.8E-3
717.5E-3,1.390,998.9E-3
718.3E-3,1.391,998.8E-3
719.2E-3,1.395,998.9E-3
720.0E-3,1.400,998.8E-3
720.8E-3,1.405,999.0E-3
721.7E-3,1.409,998.8E-3
722.5E-3,1.410,999.0E-3
723.3E-3,1.409,998.8E-3
724.2E-3,1.405,999.0E-3
725.0E-3,1.400,998.8E-3
725.8E-3,1.395,998.9E-3
726.7E-3,1.391,998.8E-3
727.5E-3,1.390,998.9E-3
728.3E-3,1.391,998.8E-3
729.2E-3,1.395,998.9E-3
730.0E-3,1.400,998.8E-3
730.8E-3,1.405,999.0E-3
731.7E-3,1.409,998.8E-3
732.5E-3,1.410,999.0E-3
733.3E-3,1.409,998.8E-3
734.2E-3,1.405,999.0E-3
735.0E-3,1.400,998.8E-3
735.8E-3,1.395,998.9E-3
736.7E-3,1.391,998.8E-3
737.5E-3,1.390,998.9E-3
738.3E-3,1.391,998.8E-3
739.2E-3,1.395,998.9E-3
740.0E-3,1.400,998.8E-3
740.8E-3,1.405,999.0E-3
741.7E-3,1.409,998.8E-3
742.5E-3,1.410,999.0E-3
743.3E-3,1.409,998.8E-3
744.2E-3,1.405,999.0E-3
745.0E-3,1.400,998.8E-3
745.8E-3,1.395,998.9E-3
746.7E-3,1.391,998.8E-3
747.5E-3,1.390,998.9E-3
748.3E-3,1.391,998.8E-3
749.2E-3,1.395,998.9E-3
750.0E-3,1.400,998.8E-3
750.8E-3,1.405,999.0E-3
751.7E-3,1.409,998.8E-3
752.5E-3,1.410,999.0E-3
753.3E-3,1.409,998.8E-3
754.2E-3,1.405,999.0E-3
755.0E-3,1.400,998.8E-3
755.8E-3,1.395,998.9E-3
756.7E-3,1.391,998.8E-3
757.5E-3,1.390,998.9E-3
758.3E-3,1.391,998.8E-3
759.2E-3,1.395,998.9E-3
760.0E-3,1.400,998.8E-3
760.8E-3,1.405,999.0E-3
761.7E-3,1.409,998.8E-3
762.5E-3,1.410,999.0E-3
763.3E-3,1.409,998.8E-3
764.2E-3,1.405,999.0E-3
765.0E-3,1.400,998.8E-3
765.8E-3,1.395,998.9E-3
766.7E-3,1.391,998.8E-3
767.5E-3,1.390,998.9E-3
768.3E-3,1.391,998.9E-3
769.2E-3,1.395,998.9E-3
770.0E-3,1.400,998.9E-3
770.8E-3,1.405,998.9E-3
771.7E-3,1.409,998.9E-3
772.5E-3,1.410,998.9E-3
773.3E-3,1.409,998.9E-3
774.2E-3,1.405,998.9E-3
775.0E-3,1.400,998.9E-3
775.8E-3,1.395,998.9E-3
776.7E-3,1.391,998.8E-3
777.5E-3,1.390,998.9E-3
778.3E-3,1.391,998.8E-3
779.2E-3,1.395,998.9E-3
780.0E-3,1.400,998.9E-3
780.8E-3,1.405,998.9E-3
781.7E-3,1.409,998.9E-3
782.5E-3,1.410,998.9E-3
783.3E-3,1.409,998.9E-3
784.2E-3,1.405,998.9E-3
785.0E-3,1.400,998.9E-3
785.8E-3,1.395,998.9E-3
786.7E-3,1.391,998.8E-3
787.5E-3,1.390,998.9E-3
788.3E-3,1.391,998.8E-3
789.2E-3,1.395,998.9E-3
790.0E-3,1.400,998.9E-3
790.8E-3,1.405,998.9E-3
791.7E-3,1.409,998.9E-3
792.5E-3,1.410,998.9E-3
793.3E-3,1.409,998.9E-3
794.2E-3,1.405,998.9E-3
795.0E-3,1.400,998.9E-3
795.8E-3,1.395,998.9E-3
796.7E-3,1.391,998.8E-3
797.5E-3,1.390,998.9E-3
798.3E-3,1.391,998.8E-3
799.2E-3,1.395,998.9E-3
800.0E-3,1.400,998.9E-3
800.8E-3,1.405,998.9E-3
801.7E-3,1.409,998.9E-3
802.5E-3,1.410,998.9E-3
803.3E-3,1.409,998.9E-3
804.2E-3,1.405,998.9E-3
805.0E-3,1.400,998.9E-3
805.8E-3,1.395,998.9E-3
806.7E-3,1.391,998.9E-3
807.5E-3,1.390,998.9E-3
808.3E-3,1.391,998.9E-3
809.2E-3,1.395,998.9E-3
810.0E-3,1.400,998.9E-3
810.8E-3,1.405,998.9E-3
811.7E-3,1.409,998.9E-3
812.5E-3,1.410,998.9E-3
813.3E-3,1.409,998.9E-3
814.2E-3,1.405,998.9E-3
815.0E-3,1.400,998.9E-3
815.8E-3,1.395,998.9E-3
816.7E-3,1.391,998.9E-3
817.5E-3,1.390,998.9E-3
818.3E-3,1.391,998.9E-3
819.2E-3,1.395,998.9E-3
820.0E-3,1.400,998.9E-3
820.8E-3,1.405,998.9E-3
821.7E-3,1.409,998.9E-3
822.5E-3,1.410,998.9E-3
823.3E-3,1.409,998.9E-3
824.2E-3,1.405,998.9E-3
825.0E-3,1.400,998.9E-3
825.8E-3,1.395,998.9E-3
826.7E-3,1.391,998.9E-3
827.5E-3,1.390,998.9E-3
828.3E-3,1.391,998.9E-3
829.2E-3,1.395,998.9E-3
830.0E-3,1.400,998.9E-3
830.8E-3,1.405,998.9E-3
831.7E-3,1.409,998.9E-3
832.5E-3,1.410,998.9E-3
833.3E-3,1.409,998.9E-3
834.2E-3,1.405,998.9E-3
835.0E-3,1.400,998.9E-3
835.8E-3,1.395,998.9E-3
836.7E-3,1.391,998.9E-3
837.5E-3,1.390,998.9E-3
838.3E-3,1.391,998.9E-3
839.2E-3,1.395,998.9E-3
840.0E-3,1.400,998.9E-3
840.8E-3,1.405,998.9E-3
841.7E-3,1.409,998.9E-3
842.5E-3,1.410,998.9E-3
843.3E-3,1.409,998.9E-3
844.2E-3,1.405,998.9E-3
845.0E-3,1.400,998.9E-3
845.8E-3,1.395,998.9E-3
846.7E-3,1.391,998.9E-3
847.5E-3,1.390,998.9E-3
848.3E-3,1.391,998.9E-3
849.2E-3,1.395,998.9E-3
850.0E-3,1.400,998.9E-3
850.8E-3,1.405,998.9E-3
851.7E-3,1.409,998.9E-3
852.5E-3,1.410,998.9E-3
853.3E-3,1.409,998.9E-3
854.2E-3,1.405,998.9E-3
855.0E-3,1.400,998.9E-3
855.8E-3,1.395,998.9E-3
856.7E-3,1.391,998.9E-3
857.5E-3,1.390,998.9E-3
858.3E-3,1.391,998.9E-3
859.2E-3,1.395,998.9E-3
860.0E-3,1.400,998.9E-3
860.8E-3,1.405,998.9E-3
861.7E-3,1.409,998.9E-3
862.5E-3,1.410,998.9E-3
863.3E-3,1.409,998.9E-3
864.2E-3,1.405,998.9E-3
865.0E-3,1.400,998.9E-3
865.8E-3,1.395,998.9E-3
866.7E-3,1.391,998.9E-3
867.5E-3,1.390,998.9E-3
868.3E-3,1.391,998.9E-3
869.2E-3,1.395,998.9E-3
870.0E-3,1.400,998.9E-3
870.8E-3,1.405,998.9E-3
871.7E-3,1.409,998.9E-3
872.5E-3,1.410,998.9E-3
873.3E-3,1.409,998.9E-3
874.2E-3,1.405,998.9E-3
875.0E-3,1.400,998.9E-3
875.8E-3,1.395,998.9E-3
876.7E-3,1.391,998.9E-3
877.5E-3,1.390,998.9E-3
878.3E-3,1.391,998.9E-3
879.2E-3,1.395,998.9E-3
880.0E-3,1.400,998.9E-3
880.8E-3,1.405,998.9E-3
881.7E-3,1.409,998.9E-3
882.5E-3,1.410,998.9E-3
883.3E-3,1.409,998.9E-3
884.2E-3,1.405,998.9E-3
885.0E-3,1.400,998.9E-3
885.8E-3,1.395,998.9E-3
886.7E-3,1.391,998.9E-3
887.5E-3,1.390,998.9E-3
888.3E-3,1.391,998.9E-3
889.2E-3,1.395,998.9E-3
890.0E-3,1.400,998.9E-3
890.8E-3,1.405,998.9E-3
891.7E-3,1.409,998.9E-3
892.5E-3,1.410,998.9E-3
893.3E-3,1.409,998.9E-3
894.2E-3,1.405,998.9E-3
895.0E-3,1.400,998.9E-3
895.8E-3,1.395,998.9E-3
896.7E-3,1.391,998.9E-3
897.5E-3,1.390,998.9E-3
898.3E-3,1.391,998.9E-3
899.2E-3,1.395,998.9E-3
900.0E-3,1.400,998.9E-3
900.8E-3,1.405,998.9E-3
901.7E-3,1.409,998.9E-3
902.5E-3,1.410,998.9E-3
903.3E-3,1.409,998.9E-3
904.2E-3,1.405,998.9E-3
905.0E-3,1.400,998.9E-3
905.8E-3,1.395,998.9E-3
906.7E-3,1.391,998.9E-3
907.5E-3,1.390,998.9E-3
908.3E-3,1.391,998.9E-3
909.2E-3,1.395,998.9E-3
910.0E-3,1.400,998.9E-3
910.8E-3,1.405,998.9E-3
911.7E-3,1.409,998.9E-3
912.5E-3,1.410,998.9E-3
913.3E-3,1.409,998.9E-3
914.2E-3,1.405,998.9E-3
915.0E-3,1.400,998.9E-3
915.8E-3,1.395,998.9E-3
916.7E-3,1.391,998.9E-3
917.5E-3,1.390,998.9E-3
918.3E-3,1.391,998.9E-3
919.2E-3,1.395,998.9E-3
920.0E-3,1.400,998.9E-3
920.8E-3,1.405,998.9E-3
921.7E-3,1.409,998.9E-3
922.5E-3,1.410,998.9E-3
923.3E-3,1.409,998.9E-3
924.2E-3,1.405,998.9E-3
925.0E-3,1.400,998.9E-3
925.8E-3,1.395,998.9E-3
926.7E-3,1.391,998.9E-3
927.5E-3,1.390,998.9E-3
928.3E-3,1.391,998.9E-3
929.2E-3,1.395,998.9E-3
930.0E-3,1.400,998.9E-3
930.8E-3,1.405,998.9E-3
931.7E-3,1.409,998.9E-3
932.5E-3,1.410,998.9E-3
933.3E-3,1.409,998.9E-3
934.2E-3,1.405,998.9E-3
935.0E-3,1.400,998.9E-3
935.8E-3,1.395,998.9E-3
936.7E-3,1.391,998.9E-3
937.5E-3,1.390,998.8E-3
938.3E-3,1.391,998.9E-3
939.2E-3,1.395,998.9E-3
940.0E-3,1.400,998.9E-3
940.8E-3,1.405,998.9E-3
941.7E-3,1.409,998.9E-3
942.5E-3,1.410,998.9E-3
943.3E-3,1.409,998.9E-3
944.2E-3,1.405,998.9E-3
945.0E-3,1.400,998.9E-3
945.8E-3,1.395,998.9E-3
946.7E-3,1.391,998.9E-3
947.5E-3,1.390,998.8E-3
948.3E-3,1.391,998.9E-3
949.2E-3,1.395,998.9E-3
950.0E-3,1.400,998.9E-3
950.8E-3,1.405,998.9E-3
951.7E-3,1.409,998.9E-3
952.5E-3,1.410,998.9E-3
953.3E-3,1.409,998.9E-3
954.2E-3,1.405,998.9E-3
955.0E-3,1.400,998.9E-3
955.8E-3,1.395,998.9E-3
956.7E-3,1.391,998.9E-3
957.5E-3,1.390,998.9E-3
958.3E-3,1.391,998.9E-3
959.2E-3,1.395,998.9E-3
960.0E-3,1.400,998.9E-3
960.8E-3,1.405,998.9E-3
961.7E-3,1.409,998.9E-3
962.5E-3,1.410,998.9E-3
963.3E-3,1.409,998.9E-3
964.2E-3,1.405,998.9E-3
965.0E-3,1.400,998.9E-3
965.8E-3,1.395,998.9E-3
966.7E-3,1.391,998.9E-3
967.5E-3,1.390,998.9E-3
968.3E-3,1.391,998.9E-3
969.2E-3,1.395,998.9E-3
970.0E-3,1.400,998.9E-3
970.8E-3,1.405,998.9E-3
971.7E-3,1.409,998.9E-3
972.5E-3,1.410,998.9E-3
973.3E-3,1.409,998.9E-3
974.2E-3,1.405,998.9E-3
975.0E-3,1.400,998.9E-3
975.8E-3,1.395,998.9E-3
976.7E-3,1.391,998.9E-3
977.5E-3,1.390,998.9E-3
978.3E-3,1.391,998.9E-3
979.2E-3,1.395,998.9E-3
980.0E-3,1.400,998.9E-3
980.8E-3,1.405,998.9E-3
981.7E-3,1.409,998.9E-3
982.5E-3,1.410,998.9E-3
983.3E-3,1.409,998.9E-3
984.2E-3,1.405,998.9E-3
985.0E-3,1.400,998.9E-3
985.8E-3,1.395,998.9E-3
986.7E-3,1.391,998.9E-3
987.5E-3,1.390,998.9E-3
988.3E-3,1.391,998.9E-3
989.2E-3,1.395,998.9E-3
990.0E-3,1.400,998.9E-3
990.8E-3,1.405,998.9E-3
991.7E-3,1.409,998.9E-3
992.5E-3,1.410,998.9E-3
993.3E-3,1.409,998.9E-3
994.2E-3,1.405,998.9E-3
995.0E-3,1.400,998.9E-3
995.8E-3,1.395,998.9E-3
996.7E-3,1.391,998.9E-3
997.5E-3,1.390,998.8E-3
998.3E-3,1.391,998.9E-3
999.2E-3,1.395,998.9E-3
1.000,1.400,998.9E-3
